CONTRACTION,EXPANSION,SOURCE,LENGTH
გაზ.,გაზეთი,G,4
გამ-ბა და სტ.,გამომცემლობა და სტამბა,G,13
გამომც.,გამომცემლობა,G,7
გამოც.,გამოცემა,G,6
გარდ.,გარდაცვალება,G,5
გეოგრ.,გეოგრაფია,D,6
გეოგრ. სახ.,გეოგრაფიული (საკუთარი) სახელი,D,11
გეოდ.,გეოდეზია,D,5
გეოლ.,გეოლოგია,D,5
გეოფიზ.,გეოფიზიკა,D,7
გერმ.,გერმანული,D,5
გვ.,გვერდი,D,3
გვიანდ.,გვიანდელი,D,7
გრამატ.,გრამატიკა,D,7
დ.,დაბადება,G,2
დაახლ.,დაახლოებით,D,6
დაბ.,დაბადება,G,4
დამ.,დამატებითი,G,4
დამახინჯ.,დამახინჯებული,D,9
დამხმ.,დამხმარე,G,6
დან.,დანიური,D,4
დას.,დასავლეთ,G,4
დასახ.,დასახლება,G,6
დეკ.,დეკემბერი,G,4
დიაგ.,დიაგონალი,G,5
დიპლ.,დიპლომატია,D,5
დმ.,დეციმეტრი,D,3
დოქტ.,დოქტორი,G,5
დოც.,დოცენტი,D,4
დღ.,დღეს,G,3
ე. ი.,ესე იგი,D,5
ე. წ.,ეგრეთ წოდებული,D,5
ე.ი.,ესე იგი,D,4
ე.მ.ძ.,ელექტრომამოძრავებელი ძალა,G,6
ე.წ.,ეგრეთ წოდებული,D,4
ებრ.,ებრაული,D,4
ეგვიპტ.,ეგვიპტური,D,7
ევენკ.,ევენკური,D,6
ეთიოპ.,ეთიოპიური,D,6
ეთნ.,ეთნოგრაფია,D,4
ეთნოგრ.,ეთნოგრაფია,G,7
ეკლ.,საეკლესიო,D,4
ეკონ.,ეკონომიკა,D,5
ელექტ.,ელექტროტექნიკა,D,6
ენტომ.,ენტომოლოგია,D,6
ეროვნ.,ეროვნული,G,6
ესკიმ.,ესკიმოსური,D,6
ესპ.,ესპანური,D,4
ესპერ.,ესპერანტო,D,6
ექ.,ექიმი,D,3
ვაჭრ.,ვაჭრობა,D,5
ზამთ.,ზამთარი,G,5
ზედსართ.,ზედსართავი სახელი,D,8
ზოოლ.,ზოოლოგია,D,5
ზოოტექ.,ზოოტექნიკა,D,7
ზღვ.,საზღვაო,D,4
თ.,თავი,D,2
თათრ.,თათრული,D,5
თბ.,თბილისი ,G,3
თეატრ.,თეატრი,D,6
თებ.,თებერვალი,G,4
თურქ.,თურქული,D,5
თხზ.,თხზულება,D,4
იაკუტ.,იაკუტური,D,6
იან.,იანვარი,G,4
იანვ.,იანვარი,G,5
იაპ.,იაპონური,D,4
ივლ.,ივლისი,G,4
ივნ.,ივნისი,G,4
ინგ.,ინგლისური,G,4
ინგლ.,ინგლისური,D,5
ინდ.,ინდური,D,4
ინჟ.,ინჟინერი,D,4
ირან.,ირანული,D,5
ირონ.,ირონიული,D,5
ისლანდ.,ისლანდიური,D,7
ისტ.,ისტორიული,D,4
იტალ.,იტალიური,D,5
იხ.,იხილე,D,3
კარიბ.,კარიბული,D,6
კგ.,კილოგრამი,D,3
კელტ.,კელტური,D,5
კვ. კმ.,კვადრატული კილომეტრი,G,7
კვ. მ.,კვადრატული მეტრი,G,6
კვ.კმ.,კვადრატული კილომეტრი,G,6
კვ.მ.,კვადრატული მეტრი,D,5
კვტ.სთ,კილოვატი საათში,G,6
კინემატ.,კინემატოგრაფია,D,8
კმ.,კილომეტრი,D,3
კმ2.,კვადრატული კილომეტრი,G,4
კმ².,კვადრატული კილომეტრი,G,4
კმ³.,კუბური კილომეტრი,G,4
კნინ.,კნინობითი,D,5
კომერც.,კომერცია,D,7
კრ.,კრებული,G,3
კრებ.,კრებითი,D,5
კუბ.,კუბური,D,4
კულინ.,კულინარია,D,6
კულტ.,კულტურული,G,5
ლაბ.,ლაბორანტი,D,4
ლათ.,ლათინური,D,4
ლიეტ.,ლიეტუვა,G,5
ლინგვ.,ლინგვისტიკა (ენათმეცნიერება),D,6
ლიტ.,ლიტერატურა,D,4
ლოგ.,ლოგიკა,D,4
მ.ა.ე.,მასის ატომური ერთეული,G,6
მ.ქ.კ.,მარგი ქმედების კოეფიციენტი,G,6
მაგ.,მაგალითი,D,4
მათემ.,მათემატიკა,D,6
მალგას.,მალგასიური,D,7
მამრ.,მამრობითი სქესი,D,5
მანჯურ.,მანჯურიული,D,7
მარ.,მარტი,G,4
მასწ.,მასწავლებელი,D,5
მაქს.,მაქსიმალური,G,5
მგ.,მილიგრამი,D,3
მგვტ.,მეგავატი,G,5
მდ.,მდინარე,G,3
მდედრ.,მდედრობითი სქესი,D,6
მედიც.,მედიცინა,D,6
მემცენ.,მემცენარეობა,D,7
მეცნ.,მეცნიერება,G,5
მთ.,მთავარ,G,3
მთ.-მად.,სამთამადნო საქმე,D,8
მიახ.,მიახლოებით,G,5
მიახლ.,მიახლოებით,G,6
მითოლ.,მითოლოგია,D,6
მიმღ.,მიმღეობა,D,5
მინ.,მინიმალური,G,4
მინერ.,მინერალოგია,D,6
მისთ.,მისთანანი,D,5
მლნ.,მილიონი,G,4
მლრდ.,მილიარდი,G,5
მმ.,მილიმეტრი,D,3
მმართ.,მმართველობის,G,6
მნიშვ.,მნიშვნელობა,D,6
მონღ.,მონღოლური,D,5
მოსახ.,მოსახლეობა,G,6
მოძვ.,მოძველებული,D,5
მრ.,მრავლობითი რიცხვი,D,3
მსახ.,მსახიობი,G,5
მუს.,მუსიკა,D,4
მხ.,მხოლოობითი რიცხვი,D,3
მხატვ.,მხატვარი,G,6
ნ.,ნახე,D,2
ნათეს.,ნათესაობითი ბრუნვა,D,6
ნაკვ.,ნაკვლევი,G,5
ნამდვ.,ნამდვილი,G,6
ნაწ.,ნაწილი,D,4
ნაწილ.,ნაწილაკი,D,6
ნახ.,ნახატი,D,4
ნოე.,ნოემბერი,G,4
ნოემბ.,ნოემბერი,G,6
ნორვეგ.,ნორვეგიული,D,7
ოლიმპ.,ოლიმპიური,G,6
ოქტ.,ოქტომბერი,G,4
პალეონტ.,პალეონტოლოგია,D,8
პედაგ.,პედაგოგიკა,D,6
პოეტ.,პოეტური,D,5
პოლიგრ.,პოლიგრაფია,D,7
პოლინეზ.,პოლინეზიური ენები,D,8
პოლიტ.,პოლიტიკა,D,6
პოლიტ. ეკონ.,პოლიტიკური ეკონომია,D,12
პოლონ.,პოლონური,D,6
პორტუგ.,პორტუგალიური,D,7
პრაკრ.,პრაკრიტი,D,6
პრეზ.,პრეზიდენტი,G,5
პროფ.,პროფესორი,D,5
ჟურ.,ჟურნალი,G,4
რაოდ.,რაოდენობა,G,5
რელიგ.,რელიგია,D,6
რეჟ.,რეჟისორი,G,4
რკ.-გზ.,სარკინიგზო,D,7
რუმინ.,რუმინული,D,6
რუს.,რუსული,D,4
ს.,საუკუნე,D,2
საბჭ.,საბჭოთა,G,5
საკუთ. სახ.,საკუთარი სახელი (ადამიანისა),D,11
სამ.,სამხრეთ,G,4
სამართ.,სამართალი,D,7
სამედ.,სამედიცინო,G,6
სამხ.,სამხედრო,D,5
სამხ.ამერ.,სამხრეთ ამერიკა,G,10
სამხრ.-აღმ.,სამხრეთ-აღმოსავლეთი,D,11
სანსკრ.,სანსკრიტი,D,7
საპირისპ.,საპირისპირო,D,9
სასწ.,სასწავლებელი,G,5
საუბ.,სასაუბრო,D,5
საუკ.,საუკუნე,D,5
საქ.,საქართველო,G,4
სერბ.,სერბული,D,5
სერბ.-ხორვატ.,სერბულ-ხორვატული,D,13
სექ.,სექტემბერი,G,4
სვან.,სვანური,G,5
სთ.,საათი,D,3
სინონ.,სინონიმი,D,6
სინჰალ.,სინჰალური,D,7
სკანდინ.,სკანდინავიური,D,8
სმ.,სანტიმეტრი,D,3
სომხ.,სომხური,D,5
სოფ.,სოფელი,G,4
სოფ. მეურნ.,სოფლის მეურნეობა,D,11
სპარს.,სპარსული,D,6
სპარს.-ავღ.,სპარსულ-ავღანური,D,11
სპეც.,სპეციალური,D,5
სპორტ.,სპორტული,D,6
სს.,საუკუნეები,D,3
სსრ.,სოციალისტური რესპუბლიკების კავშირი,G,4
სსრკ.,საბჭოთა სოციალისტური რესპუბლიკების კავშირი,G,5
სტ.,სტამბა,G,3
სტად.,სტადიონი,G,5
სტენოგრ.,სტენოგრაფია,G,8
სქ.,სქოლიო,D,3
სხვ.,სხვა,D,4
ტ.,ტომი,D,2
ტამილ.,ტამილური,D,6
ტაჯიკ.,ტაჯიკური,D,6
ტემპ.,ტემპერატურა,G,5
ტექ.,ტექნიკა,D,4
ტექნ.,ტექნიკური,G,5
ტიბეტ.,ტიბეტური,D,6
ტოპოგრ.,ტოპოგრაფიული,D,7
ტუნგუს.,ტუნგუსური,D,7
ტფ.,ტფილისი,G,3
უარყ.,უარყოფითი,D,5
უზბეკ.,უზბეკური,D,6
უკრ.,უკრაინული,D,4
უმართებ.,უმართებულო,D,8
უმც.,უმცროსი,G,4
უნგრ.,უნგრული,D,5
ფარმაკ.,ფარმაკოლოგია,D,7
ფიზ.,ფიზიკა,D,4
ფიზიოლ.,ფიზიოლიგია,D,7
ფილოლ.,ფილოლოგია,D,6
ფილოს.,ფილოსოფია,D,6
ფინ.,ფინური,D,4
ფინანს.,საფინანსო,D,7
ფინიკ.,ფინიკიური,D,6
ფლამანდ.,ფლამანდური,D,8
ფოტოგრ.,ფოტოგრაფია,D,7
ფრ.,ფრანგული,G,3
ფრანგ.,ფრანგული,D,6
ფსიქ.,ფსიქოლოგია,D,5
ქ.,ქალაქი,G,2
ქ.-ნი,ქალბატონი,D,5
ქართ.,ქართული,D,5
ქართვ.,ქართველი,G,6
ქიმ.,ქიმია,D,4
ყაბარდ.,ყაბარდოული,D,7
ყაზახ.,ყაზახური,D,6
შ.შ.მ.,შეზღუდული შესაძლებლობების მქონე,G,6
შდრ.,შეადარე,D,4
შემოკ.,შემოკლებული,G,6
შემოკლ.,შემოკლებული,D,7
შვედ.,შვედური,D,5
შვეიც.,შვეიცარია,G,6
შოტლ.,შოტლანდიური,D,5
შრ.,შრომა,D,3
ჩ.წ.ა.,ჩვენი წელთაღრიცხვით,G,6
ჩეხ.,ჩეხური,D,4
ჩვ.წ.,ჩვენი წელთაღრიცხვით,G,5
ჩინ.,ჩინური,D,4
ჩრდ.,ჩრდილოეთ,G,4
ჩრდ.ამერ.,ჩრდილოეთ ამერიკა,G,9
ც.,ცენტნერი,D,2
ცენტ.,ცენტრალური,G,5
ცხ.ძ.,ცხენის ძალა,G,5
ძვ.,ძველი,D,3
ძვ. სტ.,ძველი სტილით,G,7
ძვ. წ.,ძველი წელთაღრიცხვით,G,6
ძვ.სტ.,ძველი სტილით,G,6
წ.,წელი,D,2
წგნ.,წიგნი,G,4
წელთაღრ.,წელთაღრიცხვით,D,8
წთ.,წუთი,D,3
წიგნ.,წიგნური,D,5
წმ.,წამი,D,3
წწ.,წლები,D,3
ხალხ.,ხალხური,D,5
ხელოვნ.,ხელოვნება,D,7
ჰა,ჰექტარი,D,2
ჰოლანდ.,ჰოლანდიური,D,7
