NGRAM,NCOUNT,LEN,WCOUNT,MASKED,IMPORTANCE,REDUNDANT
ლიზაცია,10,7,477,ლიზაcია,4770,False
ურთიერთ,9,7,500,ურtიერt,4500,False
აციური>,10,7,445,აcიური>,4450,False
<ურთიერ,9,7,492,<ურtიერ,4428,False
ისუფლებ,9,7,484,ისუpლებ,4356,False
<თვალებ,6,7,722,<tვალებ,4332,False
გრაფია>,9,7,467,გრაpია>,4203,False
ტორული>,11,7,380,tორული>,4180,False
<მანქან,8,7,512,<მანkან,4096,False
ინასწარ,9,7,448,ინასcარ,4032,False
წინასწა,9,7,448,cინასcა,4032,False
ალიზაცი,8,7,483,ალიზაcი,3864,False
აფეთქებ,10,7,382,აpეtkებ,3820,False
თებელი>,10,7,378,tებელი>,3780,False
ონასწორ,10,7,376,ონასcორ,3760,False
წონასწო,10,7,376,cონასcო,3760,False
საკუთრე,11,7,337,საkუtრე,3707,False
ვადმყოფ,9,7,410,ვადმყოp,3690,False
ამაგრებ,8,7,461,ამაგრებ,3688,False
გადასახ,9,7,400,გადასახ,3600,False
ოგრაფია,8,7,441,ოგრაpია,3528,False
მატური>,7,7,498,მაtური>,3486,False
ტირება>,8,7,435,tირება>,3480,False
ტალური>,9,7,384,tალური>,3456,False
ლექტრონ,7,7,490,ლეktრონ,3430,False
ცებული>,10,7,341,cებული>,3410,False
დინამიკ,9,7,374,დინამიk,3366,False
ოგრაფი>,8,7,420,ოგრაpი>,3360,False
ენტური>,9,7,367,ენtური>,3303,False
<წინასწ,8,7,405,<cინასc,3240,False
სტიკური,7,7,457,სtიkური,3199,False
წარმოებ,6,7,533,cარმოებ,3198,False
მიმართუ,9,7,345,მიმარtუ,3105,False
იმართულ,9,7,342,იმარtულ,3078,False
თანხმებ,8,7,382,tანხმებ,3056,False
კეთება>,6,7,507,kეtება>,3042,False
ცემული>,9,7,336,cემული>,3024,False
მკვიდრე,10,7,301,მkვიდრე,3010,False
რატორი>,6,7,497,რაtორი>,2982,False
ემთხვევ,8,7,372,ემtხვევ,2976,False
აყოფილე,10,7,297,აყოpილე,2970,False
წყნარებ,9,7,326,cყნარებ,2934,False
ტვირთავ,9,7,324,tვირtავ,2916,False
ექტორი>,9,7,322,ეktორი>,2898,False
იკაცია>,9,7,321,იkაcია>,2889,False
ტრიული>,8,7,359,tრიული>,2872,False
<მექანი,8,7,356,<მეkანი,2848,False
გებელი>,9,7,316,გებელი>,2844,False
ვისუფლე,7,7,405,ვისუpლე,2835,False
მტკიცებ,7,7,404,მtkიcებ,2828,False
აგებული,9,7,312,აგებული,2808,False
ვარსკვლ,7,7,394,ვარსkვლ,2758,False
არსკვლა,7,7,391,არსkვლა,2737,False
რსკვლავ,7,7,391,რსkვლავ,2737,False
მართული,8,7,339,მარtული,2712,False
სწორება,8,7,339,სcორება,2712,False
აღმდეგო,9,7,301,აგმდეგო,2709,False
კრისტალ,6,7,451,kრისtალ,2706,False
დატვირთ,8,7,336,დაtვირt,2688,False
რთველი>,7,7,377,რtველი>,2639,False
გრძელებ,8,7,322,გრძელებ,2576,False
აკუთრებ,9,7,282,აkუtრებ,2538,False
ატიკური,8,7,314,აtიkური,2512,False
ქმედება,8,7,311,kმედება,2488,False
ნასწორე,8,7,309,ნასcორე,2472,False
<დარტყმ,5,7,491,<დარtყმ,2455,False
ტყველებ,8,7,304,tყველებ,2432,False
<ავტომა,5,7,484,<ავtომა,2420,False
ეტყველე,8,7,301,ეtყველე,2408,False
ურადღებ,8,7,297,ურადგებ,2376,False
ყურადღე,8,7,297,ყურადგე,2376,False
ენტები>,7,7,336,ენtები>,2352,False
ექტრული,6,7,388,ეktრული,2328,False
ქტრული>,6,7,388,ktრული>,2328,False
გამოსახ,8,7,290,გამოსახ,2320,False
ტიკული>,8,7,289,tიkული>,2312,False
აკავშირ,7,7,324,აkავშირ,2268,False
მიკური>,7,7,322,მიkური>,2254,False
ლიანდაგ,7,7,322,ლიანდაგ,2254,False
ისტური>,5,7,443,ისtური>,2215,False
მართვა>,6,7,369,მარtვა>,2214,False
რმეტყვე,8,7,276,რმეtყვე,2208,False
წორება>,7,7,312,cორება>,2184,False
აცხოვრე,8,7,270,აcხოვრე,2160,False
ფრთხილე,8,7,264,pრtხილე,2112,False
მექანიკ,6,7,351,მეkანიk,2106,False
<ვარსკვ,6,7,348,<ვარსkვ,2088,False
ამართლო,8,7,260,ამარtლო,2080,False
მართველ,6,7,346,მარtველ,2076,False
<ინსტრუ,9,7,230,<ინსtრუ,2070,False
ნიზაცია,6,7,344,ნიზაcია,2064,False
მეტრიულ,6,7,344,მეtრიულ,2064,False
უფლება>,7,7,293,უpლება>,2051,False
შემთხვე,6,7,336,შემtხვე,2016,False
აჩქარებ,7,7,285,აჩkარებ,1995,False
<შემთხვ,6,7,332,<შემtხვ,1992,False
რწმუნებ,6,7,330,რcმუნებ,1980,False
მმართვე,6,7,330,მმარtვე,1980,False
ლობითი>,8,7,247,ლობიtი>,1976,False
ვირთავი,8,7,246,ვირtავი,1968,False
ირთავი>,8,7,246,ირtავი>,1968,False
წყობილი,8,7,246,cყობილი,1968,False
თვალიერ,6,7,327,tვალიერ,1962,False
საზღვრე,7,7,276,საზგვრე,1932,False
სარგებლ,7,7,275,სარგებლ,1925,False
ციალური,7,7,273,cიალური,1911,False
ადგურებ,6,7,318,ადგურებ,1908,False
წმენდა>,7,7,272,cმენდა>,1904,False
ეტრიული,6,7,317,ეtრიული,1902,False
იფიკაცი,5,7,374,იpიkაcი,1870,False
მონაწილ,8,7,231,მონაcილ,1848,False
<ანგარი,6,7,307,<ანგარი,1842,False
ონაწილე,8,7,230,ონაcილე,1840,False
ფერენცი,7,7,262,pერენcი,1834,False
ინტერეს,7,7,259,ინtერეს,1813,False
აერთიან,6,7,302,აერtიან,1812,False
<ზედაპი,6,7,302,<ზედაpი,1812,False
ზედაპირ,6,7,302,ზედაpირ,1812,False
ეკონომი,8,7,226,ეkონომი,1808,False
ცირებულ,6,7,300,cირებულ,1800,False
ლექტრულ,5,7,357,ლეktრულ,1785,False
ელექტრუ,5,7,353,ელეktრუ,1765,False
კონსერვ,8,7,220,kონსერვ,1760,False
<აფეთქე,7,7,251,<აpეtkე,1757,False
წყვეტილ,7,7,248,cყვეtილ,1736,False
აგრძელე,7,7,248,აგრძელე,1736,False
<გვერდი,5,7,347,<გვერდი,1735,False
მარაგებ,6,7,286,მარაგებ,1716,False
ადგილებ,5,7,342,ადგილებ,1710,False
ცირება>,5,7,341,cირება>,1705,False
ტირებულ,5,7,339,tირებულ,1695,False
ართულებ,7,7,242,არtულებ,1694,False
მოკიდებ,6,7,280,მოkიდებ,1680,False
გადაცემ,5,7,330,გადაcემ,1650,False
მთხვევა,7,7,234,მtხვევა,1638,False
წარმეტყ,7,7,232,cარმეtყ,1624,False
<სამართ,6,7,270,<სამარt,1620,False
ნასწარმ,7,7,231,ნასcარმ,1617,False
ტოგრაფი,6,7,269,tოგრაpი,1614,False
მოგზაურ,7,7,227,მოგზაურ,1589,False
<გონება,6,7,260,<გონება,1560,False
ფიცირებ,5,7,311,pიcირებ,1555,False
ხორციელ,7,7,222,ხორcიელ,1554,False
ირდაპირ,5,7,310,ირდაpირ,1550,False
პირდაპი,5,7,310,pირდაpი,1550,False
ალისტი>,5,7,310,ალისtი>,1550,False
ასწარმე,7,7,221,ასcარმე,1547,False
ტომობილ,6,7,257,tომობილ,1542,False
ვტომობი,6,7,257,ვtომობი,1542,False
ავტომობ,6,7,257,ავtომობ,1542,False
ატორის>,7,7,220,აtორის>,1540,False
იზოლაცი,7,7,220,იზოლაcი,1540,False
რთხილებ,7,7,220,რtხილებ,1540,False
ათვალიე,6,7,256,აtვალიე,1536,False
ეტრული>,6,7,256,ეtრული>,1536,False
მეტრული,6,7,256,მეtრული,1536,False
ართავს>,5,7,307,არtავს>,1535,False
მატება>,6,7,255,მაtება>,1530,False
ვითარებ,6,7,253,ვიtარებ,1518,False
აღებული,6,7,252,აგებული,1512,True
ნაცვლებ,6,7,252,ნაcვლებ,1512,False
სწარმეტ,7,7,215,სcარმეt,1505,False
აგდება>,5,7,299,აგდება>,1495,False
ამცირებ,6,7,249,ამcირებ,1494,False
<მოქმედ,5,7,294,<მოkმედ,1470,False
<კანონი,7,7,208,<kანონი,1456,False
<მონაწი,7,7,208,<მონაcი,1456,False
აფრთხილ,7,7,207,აpრtხილ,1449,False
ათავისუ,6,7,241,აtავისუ,1446,False
<გადაცე,5,7,289,<გადაcე,1445,False
ემკვიდრ,7,7,206,ემkვიდრ,1442,False
ქცეული>,6,7,240,kcეული>,1440,False
ლექტროს,5,7,288,ლეktროს,1440,False
ნაზღაურ,6,7,239,ნაზგაურ,1434,False
<წინააღ,7,7,204,<cინააგ,1428,False
ფერული>,5,7,285,pერული>,1425,False
მახინჯე,6,7,237,მახინjე,1422,False
ვერცხლი,6,7,235,ვერcხლი,1410,False
დამატებ,5,7,282,დამაtებ,1410,False
<აღდგენ,6,7,234,<აგდგენ,1404,False
ოელექტრ,5,7,280,ოელეktრ,1400,False
ცალკევე,6,7,233,cალkევე,1398,False
ალკევებ,6,7,233,ალkევებ,1398,False
<დამატე,5,7,279,<დამაtე,1395,False
ამოწმებ,6,7,232,ამოcმებ,1392,False
ლატორი>,5,7,278,ლაtორი>,1390,False
მემკვიდ,7,7,198,მემkვიდ,1386,False
რეგულირ,6,7,231,რეგულირ,1386,False
ნამიკურ,5,7,276,ნამიkურ,1380,False
ინამიკუ,5,7,276,ინამიkუ,1380,False
მართულე,7,7,195,მარtულე,1365,False
<პირველ,5,7,273,<pირველ,1365,False
წორებულ,6,7,226,cორებულ,1356,False
ტვირთვა,6,7,226,tვირtვა,1356,False
<მემკვი,7,7,193,<მემkვი,1351,False
<მოწყობ,5,7,270,<მოcყობ,1350,False
ასამართ,5,7,268,ასამარt,1340,False
გულირებ,6,7,223,გულირებ,1338,False
<ვერცხლ,5,7,267,<ვერcხლ,1335,False
ულატორი,5,7,267,ულაtორი,1335,False
სწორებუ,6,7,222,სcორებუ,1332,False
ვირთვა>,6,7,222,ვირtვა>,1332,False
სიკვდილ,7,7,190,სიkვდილ,1330,False
გდებული,7,7,189,გდებული,1323,False
ამახინჯ,6,7,220,ამახინj,1320,False
პროგრამ,6,7,220,pროგრამ,1320,False
ანადგურ,5,7,264,ანადგურ,1320,False
<გამოცდ,5,7,264,<გამოcდ,1320,False
ოფილება,7,7,188,ოpილება,1316,False
<კრისტა,5,7,263,<kრისtა,1315,False
აკვირვე,6,7,218,აkვირვე,1308,False
ამართლე,6,7,218,ამარtლე,1308,False
ამიკური,5,7,261,ამიkური,1305,False
ანტური>,7,7,186,ანtური>,1302,False
<სისტემ,6,7,216,<სისtემ,1296,False
მოწყობი,6,7,215,მოcყობი,1290,False
ეგულირე,6,7,215,ეგულირე,1290,False
აწყვეტი,5,7,256,აcყვეtი,1280,False
კალური>,6,7,213,kალური>,1278,False
ატიული>,7,7,182,აtიული>,1274,False
კითხვა>,6,7,212,kიtხვა>,1272,False
არგებლო,6,7,212,არგებლო,1272,False
ტრანსპო,5,7,254,tრანსpო,1270,False
ნგარიშე,6,7,211,ნგარიშე,1266,False
ატორული,6,7,211,აtორული,1266,False
იფიცირე,5,7,253,იpიcირე,1265,False
ფიკაცია,5,7,253,pიkაcია,1265,False
აკმაყოფ,6,7,210,აkმაყოp,1260,False
მფრინავ,5,7,252,მpრინავ,1260,False
საწევი>,5,7,250,საcევი>,1250,False
ტელეგრა,6,7,208,tელეგრა,1248,False
ოწყობილ,6,7,208,ოcყობილ,1248,False
<ავტომო,5,7,249,<ავtომო,1245,False
არმეტყვ,6,7,207,არმეtყვ,1242,False
საღები>,5,7,243,საგები>,1215,False
ატვირთვ,5,7,242,აtვირtვ,1210,False
მსგავსე,6,7,200,მსგავსე,1200,False
დიფერენ,6,7,200,დიpერენ,1200,False
ფილება>,7,7,171,pილება>,1197,False
გონება>,5,7,239,გონება>,1195,False
კვირვებ,5,7,238,kვირვებ,1190,False
სტრუქცი,6,7,198,სtრუkcი,1188,False
სგავსებ,6,7,198,სგავსებ,1188,False
თანაბარ,5,7,237,tანაბარ,1185,False
სპეციალ,5,7,237,სpეcიალ,1185,False
ამტვრევ,6,7,197,ამtვრევ,1182,False
ძღვანელ,6,7,197,ძგვანელ,1182,False
მძღვანე,6,7,197,მძგვანე,1182,False
ლმძღვან,6,7,197,ლმძგვან,1182,False
ელმძღვა,6,7,197,ელმძგვა,1182,False
ხელმძღვ,6,7,197,ხელმძგვ,1182,False
<აკუმულ,7,7,168,<აkუმულ,1176,False
მატარებ,5,7,235,მაtარებ,1175,False
ადასტურ,5,7,234,ადასtურ,1170,False
სადგური,5,7,234,სადგური,1170,False
ანსპორტ,5,7,233,ანსpორt,1165,False
რანსპორ,5,7,233,რანსpორ,1165,False
დასტურე,5,7,232,დასtურე,1160,False
ვეთილი>,6,7,193,ვეtილი>,1158,False
კუთხედი,8,7,144,kუtხედი,1152,False
სისტემა,6,7,192,სისtემა,1152,False
ასტურებ,5,7,230,ასtურებ,1150,False
საფეხურ,5,7,229,საpეხურ,1145,False
<უარყოფ,5,7,229,<უარყოp,1145,False
რაციული,5,7,229,რაcიული,1145,False
აპარაკე,5,7,229,აpარაkე,1145,False
უსაქმურ,6,7,188,უსაkმურ,1128,False
<უსაქმუ,6,7,188,<უსაkმუ,1128,False
<აღმართ,5,7,225,<აგმარt,1125,False
ტარება>,5,7,225,tარება>,1125,False
<დატვირ,5,7,224,<დაtვირ,1120,False
ღვრული>,5,7,224,გვრული>,1120,False
<ეკონომ,6,7,186,<ეkონომ,1116,False
<შეცდომ,5,7,222,<შეcდომ,1110,False
ტურული>,5,7,221,tურული>,1105,False
ვრცელებ,5,7,221,ვრcელებ,1105,False
<შეურაც,6,7,184,<შეურაc,1104,False
გარიშებ,6,7,184,გარიშებ,1104,False
ენტული>,6,7,183,ენtული>,1098,False
ფორმაცი,6,7,182,pორმაcი,1092,False
ვიწროებ,6,7,182,ვიcროებ,1092,False
ტიკოსი>,5,7,218,tიkოსი>,1090,False
ქტიური>,5,7,218,ktიური>,1090,False
აკრავი>,5,7,217,აkრავი>,1085,False
უთხედი>,8,7,135,უtხედი>,1080,False
<წერტილ,6,7,180,<cერtილ,1080,False
<ვულკან,5,7,216,<ვულkან,1080,False
<ყურადღ,5,7,215,<ყურადგ,1075,False
იოგრაფი,5,7,214,იოგრაpი,1070,False
მენტები,5,7,214,მენtები,1070,False
რატული>,6,7,178,რაtული>,1068,False
აკუმულა,6,7,178,აkუმულა,1068,False
შეკავებ,6,7,176,შეkავებ,1056,False
ელემენტ,5,7,211,ელემენt,1055,False
ქციული>,6,7,175,kcიული>,1050,False
ქირავებ,5,7,210,kირავებ,1050,False
ფებული>,5,7,210,pებული>,1050,False
<მგზავრ,5,7,209,<მგზავრ,1045,False
ინაცია>,7,7,149,ინაcია>,1043,False
აზოგადო,5,7,208,აზოგადო,1040,False
საზოგად,5,7,208,საზოგად,1040,False
ახინჯებ,5,7,207,ახინjებ,1035,False
ქციური>,5,7,207,kcიური>,1035,False
ათანაბრ,6,7,172,აtანაბრ,1032,False
გვირგვი,5,7,206,გვირგვი,1030,False
ვირგვინ,5,7,206,ვირგვინ,1030,False
დაწყვეტ,6,7,171,დაcყვეt,1026,False
ამტკიცე,5,7,205,ამtkიcე,1025,False
აღიზიან,6,7,170,აგიზიან,1020,False
<გამოთქ,5,7,204,<გამოtk,1020,False
ცოცხლებ,5,7,204,cოcხლებ,1020,False
ვალთვალ,5,7,203,ვალtვალ,1015,False
<აგზნებ,5,7,203,<აგზნებ,1015,False
ავრცელე,5,7,203,ავრcელე,1015,False
მწვარი>,5,7,201,მcვარი>,1005,False
თვალთვა,5,7,200,tვალtვა,1000,False
<გამოხა,5,7,200,<გამოხა,1000,False
შეურაცხ,6,7,166,შეურაcხ,996,False
ტარული>,6,7,166,tარული>,996,False
აწეული>,6,7,166,აcეული>,996,False
წყვეტა>,5,7,199,cყვეtა>,995,False
<ბრწყინ,5,7,199,<ბრcყინ,995,False
<თვალსა,6,7,165,<tვალსა,990,False
ატებული,5,7,198,აtებული,990,False
ოგადოებ,5,7,197,ოგადოებ,985,False
ზოგადოე,5,7,197,ზოგადოე,985,False
ტრუმენტ,6,7,163,tრუმენt,978,False
სტრუმენ,6,7,163,სtრუმენ,978,False
ინსტრუმ,6,7,163,ინსtრუმ,978,False
ნსტრუმე,6,7,163,ნსtრუმე,978,False
<გადაწყ,6,7,163,<გადაcყ,978,False
აღელვებ,5,7,195,აგელვებ,975,False
აზღაურე,5,7,193,აზგაურე,965,False
<მატარე,5,7,193,<მაtარე,965,False
<სპეცია,5,7,193,<სpეcია,965,False
ღმდეგობ,6,7,160,გმდეგობ,960,False
თრებული,5,7,192,tრებული,960,False
სიმეტრი,5,7,191,სიმეtრი,955,False
თქმული>,6,7,159,tkმული>,954,False
გადაწყვ,6,7,159,გადაcყვ,954,False
ზღაურებ,5,7,190,ზგაურებ,950,False
ნსპორტი,5,7,189,ნსpორtი,945,False
<სიგნალ,5,7,188,<სიგნალ,940,False
<მოგზაუ,5,7,188,<მოგზაუ,940,False
პროდუქტ,6,7,155,pროდუkt,930,False
ინფორმა,6,7,154,ინpორმა,924,False
რიგება>,6,7,154,რიგება>,924,False
ანაზღაუ,5,7,184,ანაზგაუ,920,False
მოქმედი,5,7,183,მოkმედი,915,False
აწონასწ,5,7,183,აcონასc,915,False
<ტრანსპ,5,7,182,<tრანსp,910,False
იფერენც,5,7,182,იpერენc,910,False
წესრიგე,5,7,182,cესრიგე,910,False
ესრიგებ,5,7,182,ესრიგებ,910,False
ტატორი>,6,7,151,tაtორი>,906,False
კიდება>,5,7,181,kიდება>,905,False
რგვალებ,5,7,180,რგვალებ,900,False
<განცხა,5,7,180,<განcხა,900,False
განცხად,5,7,180,განcხად,900,False
ანცხადე,5,7,179,ანcხადე,895,False
ნცხადებ,5,7,179,ნcხადებ,895,False
ოქმედი>,5,7,178,ოkმედი>,890,False
ნივთიერ,5,7,178,ნივtიერ,890,False
აცებული,6,7,148,აcებული,888,False
ელექტრი,6,7,148,ელეktრი,888,False
მინანქრ,6,7,146,მინანkრ,876,False
<აპარატ,6,7,146,<აpარაt,876,False
მტვირთა,5,7,175,მtვირtა,875,False
<დიფერე,5,7,174,<დიpერე,870,False
<დაკარგ,5,7,174,<დაkარგ,870,False
მინისტრ,5,7,174,მინისtრ,870,False
<გამართ,5,7,174,<გამარt,870,False
რობითი>,5,7,174,რობიtი>,870,False
ელეგრაფ,5,7,173,ელეგრაp,865,False
ფენილი>,5,7,173,pენილი>,865,False
საბუთებ,6,7,143,საბუtებ,858,False
თხვევა>,5,7,171,tხვევა>,855,False
მენტის>,5,7,170,მენtის>,850,False
ორციელე,5,7,169,ორcიელე,845,False
<დადგენ,5,7,168,<დადგენ,840,False
რციელებ,5,7,168,რcიელებ,840,False
იარაღებ,6,7,139,იარაგებ,834,False
<პასუხი,5,7,166,<pასუხი,830,False
ვარცხნი,5,7,166,ვარcხნი,830,False
<თანამდ,5,7,166,<tანამდ,830,False
თანამდე,5,7,166,tანამდე,830,False
<დამარც,5,7,165,<დამარc,825,False
ტანილი>,5,7,165,tანილი>,825,False
ანგრევი,6,7,137,ანგრევი,822,False
<ნივთიე,5,7,164,<ნივtიე,820,False
ერენცია,5,7,162,ერენcია,810,False
ულწრფელ,5,7,162,ულcრpელ,810,False
გულწრფე,5,7,162,გულcრpე,810,False
აწყნარე,5,7,161,აcყნარე,805,False
ათეთრებ,5,7,161,აtეtრებ,805,False
კანონებ,6,7,133,kანონებ,798,False
ღიზიანე,5,7,159,გიზიანე,795,False
ფართოებ,5,7,158,pარtოებ,790,False
აინტერე,5,7,158,აინtერე,790,False
კავებულ,5,7,158,kავებულ,790,False
<გამოკვ,5,7,157,<გამოkვ,785,False
<პროგრა,5,7,157,<pროგრა,785,False
აფართოე,5,7,155,აpარtოე,775,False
კოორდინ,5,7,155,kოორდინ,775,False
მდგარი>,5,7,154,მდგარი>,770,False
<ექსპერ,5,7,154,<ეkსpერ,770,False
ცენტრალ,5,7,154,cენtრალ,770,False
განმეორ,6,7,128,განმეორ,768,False
აწილება,5,7,152,აcილება,760,False
ცარიელე,5,7,151,cარიელე,755,False
მრგვალე,5,7,150,მრგვალე,750,False
ნსტრუქც,5,7,150,ნსtრუkc,750,False
მაგნიტე,5,7,149,მაგნიtე,745,False
აგნიტებ,5,7,149,აგნიtებ,745,False
<კვერცხ,5,7,149,<kვერcხ,745,False
<განმეო,6,7,124,<განმეო,744,False
უწესრიგ,5,7,147,უcესრიგ,735,False
<აორთქლ,5,7,146,<აორtkლ,730,False
<ცენტრი,5,7,145,<cენtრი,725,False
ლენტური,5,7,145,ლენtური,725,False
<კომბინ,5,7,144,<kომბინ,720,False
<ტელეგრ,5,7,144,<tელეგრ,720,False
კვიდრეო,5,7,144,kვიდრეო,720,False
ამოკლებ,5,7,143,ამოkლებ,715,False
გირავებ,5,7,143,გირავებ,715,False
აქორწინ,5,7,141,აkორcინ,705,False
ბლოკირე,6,7,116,ბლოkირე,696,False
ლოკირებ,6,7,116,ლოkირებ,696,False
ადაწყვე,5,7,139,ადაcყვე,695,False
გარანტი,5,7,137,გარანtი,685,False
<ინფორმ,5,7,137,<ინpორმ,685,False
ლისფერი,5,7,136,ლისpერი,680,False
ლებითი>,5,7,135,ლებიtი>,675,False
ტრაცია>,5,7,135,tრაcია>,675,False
პასუხის,5,7,135,pასუხის,675,False
ერიმენტ,5,7,135,ერიმენt,675,False
პერიმენ,5,7,135,pერიმენ,675,False
სპერიმე,5,7,135,სpერიმე,675,False
ქსპერიმ,5,7,135,kსpერიმ,675,False
ექსპერი,5,7,135,ეkსpერი,675,False
<კოორდი,5,7,135,<kოორდი,675,False
რეცხვა>,5,7,134,რეcხვა>,670,False
საწვავი,5,7,133,საcვავი,665,False
ჯვარედი,5,7,133,jვარედი,665,False
კვეთილი,5,7,133,kვეtილი,665,False
აგდებულ,5,7,130,აგდებულ,650,False
წვრილებ,5,7,130,cვრილებ,650,False
<გარანტ,5,7,130,<გარანt,650,False
<სიკვდი,5,7,130,<სიkვდი,650,False
ამენტი>,5,7,129,ამენtი>,645,False
ანკალებ,5,7,129,ანkალებ,645,False
კანკალე,5,7,129,kანkალე,645,False
ქრებული,5,7,129,kრებული,645,False
<მარცვლ,5,7,128,<მარcვლ,640,False
მოწყალე,5,7,128,მოcყალე,640,False
დემოკრა,5,7,127,დემოkრა,635,False
ემოკრატ,5,7,127,ემოkრაt,635,False
<გადმოს,5,7,125,<გადმოს,625,False
<პროდუქ,5,7,125,<pროდუk,625,False
ატვირთა,5,7,124,აtვირtა,620,False
ქტორის>,5,7,124,ktორის>,620,False
<რეკლამ,5,7,123,<რეkლამ,615,False
ხატავს>,5,7,123,ხაtავს>,615,False
აწვრილე,5,7,122,აcვრილე,610,False
<გვირგვ,5,7,120,<გვირგვ,600,False
ტაცებულ,5,7,120,tაcებულ,600,False
ნფორმაც,5,7,120,ნpორმაc,600,False
ამპლიტუ,5,7,117,ამpლიtუ,585,False
<ამპლიტ,5,7,117,<ამpლიt,585,False
მპლიტუდ,5,7,117,მpლიtუდ,585,False
<საზღვრ,5,7,113,<საზგვრ,565,False
ძრწუნებ,5,7,112,ძრcუნებ,560,False
მოკრატი,5,7,112,მოkრაtი,560,False
<დაგეგმ,5,7,112,<დაგეგმ,560,False
ელოსიპე,5,7,111,ელოსიpე,555,False
ლოსიპედ,5,7,111,ლოსიpედ,555,False
ველოსიპ,5,7,111,ველოსიp,555,False
აგლომერ,5,7,110,აგლომერ,550,False
ნაწილეო,5,7,108,ნაcილეო,540,False
აწილეობ,5,7,108,აcილეობ,540,False
ონიკური,5,7,104,ონიkური,520,False
ინანქრე,5,7,104,ინანkრე,520,False
აკონსერ,5,7,102,აkონსერ,510,False
ჯერადი>,5,7,100,jერადი>,500,False
ნანქრებ,5,7,100,ნანkრებ,500,False
<პედანტ,5,7,76,<pედანt,380,False
რთული>,30,6,246361,რtული>,7390830,False
ქართულ,16,6,436561,kარtულ,6984976,False
ართული,27,6,246153,არtული,6646131,False
იკური>,55,6,94453,იkური>,5194915,False
გიური>,21,6,92837,გიური>,1949577,False
ოგიური,19,6,92765,ოგიური,1762535,False
ლოგიურ,18,6,92860,ლოგიურ,1671480,False
ოლოგიუ,17,6,92805,ოლოგიუ,1577685,False
<ქართუ,8,6,191091,<kარtუ,1528728,False
